hpi,cpi (1982-1984=100),pce (2012=100),real hpi (cpi),real hpi (pce)
15.088699539776464,29.01,16.042,52.012063218808905,94.05747126154134
15.072136752136753,29.0,16.057,51.972885352195696,93.86645545330232
15.072136752136753,28.97,16.068,52.026706082626006,93.80219537052994
15.072136752136753,28.98,16.1,52.00875345802882,93.61575622445187
15.138387902695596,29.04,16.109,52.12943492663773,93.97472160094105
15.138387902695596,29.11,16.155,52.00408073753211,93.70713650693652
15.088699539776464,29.15,16.189,51.76226257213196,93.20340687983484
15.072136752136753,29.18,16.212,51.6522849627716,92.969015248808
15.105262327416176,29.25,16.255,51.64192248689291,92.9268675940706
15.188076265614729,29.35,16.294,51.74813037688153,93.21269341852663
15.204639053254438,29.35,16.304,51.804562362025344,93.25710901161948
15.138387902695596,29.41,16.323,51.473607285602164,92.74268150888683
15.188076265614729,29.37,16.314,51.7128916091751,93.09842016436637
15.188076265614729,29.41,16.331,51.642557856561474,93.00150796408505
15.188076265614729,29.41,16.34,51.642557856561474,92.950283143297
15.188076265614729,29.54,16.4,51.41528864459962,92.61022113179713
15.154950690335308,29.57,16.417,51.251101421492415,92.31254608232507
15.121825115055884,29.61,16.424,51.0699936340962,92.07151190365249
15.121825115055884,29.55,16.453,51.17368905264259,91.90922698022175
15.188076265614729,29.61,16.481,51.29373949886771,92.15506501798876
15.25432741617357,29.61,16.491,51.51748536363922,92.50092423851538
15.304015779092703,29.75,16.51,51.44206984568975,92.69543173284495
15.25432741617357,29.78,16.565,51.2233962933968,92.0876994637704
15.25432741617357,29.81,16.569,51.171846414537306,92.06546814034384
15.25432741617357,29.84,16.571,51.12040018824923,92.05435650337076
15.22120184089415,29.84,16.587,51.00938954723241,91.7658518170504
15.25432741617357,29.84,16.578,51.12040018824923,92.01548688728177
15.188076265614729,29.81,16.568,50.94960169612456,91.67115080646262
15.237764628533862,29.84,16.577,51.064894867740826,91.92112341517681
15.22120184089415,29.84,16.585,51.00938954723241,91.77691794328699
15.270890203813282,29.92,16.621,51.0390715368091,91.87708443422949
15.28745299145299,29.94,16.635,51.060297232641915,91.89932666938978
15.28745299145299,29.98,16.654,50.99217141912272,91.79448175485163
15.28745299145299,29.98,16.652,50.99217141912272,91.80550679469728
15.370266929651544,29.98,16.653,51.268402033527494,92.29728535189783
15.403392504930968,30.01,16.658,51.32753250560136,92.46843861766699
15.419955292570677,30.04,16.689,51.33140909644034,92.39592122098794
15.386829717291256,30.11,16.734,51.1020581776528,91.94950231439736
15.386829717291256,30.17,16.756,51.00042995456167,91.82877606404426
15.386829717291256,30.21,16.775,50.9329020764358,91.72476731619228
15.46964365548981,30.24,16.786,51.15622901947688,92.15801057720606
15.486206443129522,30.21,16.796,51.261855157661444,92.20175305506979
15.486206443129522,30.22,16.787,51.244892267139385,92.25118510233825
15.486206443129522,30.28,16.811,51.14335020848587,92.11948392796099
15.46964365548981,30.42,16.894,50.85352943947997,91.5688626464414
15.436518080210389,30.38,16.876,50.81144858528766,91.47024223874371
15.453080867850097,30.38,16.889,50.86596730694568,91.49790317869677
15.453080867850097,30.38,16.882,50.86596730694568,91.53584212682203
15.46964365548981,30.44,16.923,50.82011713367217,91.41194620037707
15.46964365548981,30.48,16.941,50.75342406656762,91.31481999580787
15.552457593688365,30.51,16.928,50.974951142865834,91.87415875288495
15.618708744247206,30.48,16.927,51.242482756716555,92.27097976160694
15.585583168967785,30.51,16.954,51.08352398875052,91.9286491032664
15.585583168967785,30.61,16.991,50.91663890548117,91.72846312146305
15.618708744247206,30.69,17.025,50.891849932379294,91.73984578118771
15.618708744247206,30.75,17.048,50.792548761779535,91.61607663213988
15.618708744247206,30.72,17.044,50.842150860179714,91.63757770621453
15.618708744247206,30.75,17.078,50.792548761779535,91.4551396196698
15.718085470085471,30.78,17.102,51.06590471112889,91.90787902049743
15.784336620644313,30.88,17.127,51.11507973006578,92.16054545830742
15.784336620644313,30.94,17.163,51.01595546426733,91.96723545210227
15.834024983563445,30.91,17.188,51.226221234433666,92.12255633909382
15.834024983563445,30.94,17.198,51.17655133666271,92.06899048472755
15.784336620644313,30.95,17.211,50.99947211839842,91.71074673548495
15.718085470085471,30.98,17.213,50.73623457096665,91.31520054659542
15.767773833004604,31.01,17.237,50.847384176087076,91.47632321752396
15.800899408284025,31.02,17.259,50.93778016854941,91.55165078094922
15.850587771203157,31.05,17.273,51.048591855726755,91.76511185783104
15.900276134122286,31.08,17.299,51.159189620728085,91.91442357432388
15.93340170940171,31.12,17.31,51.19987695823171,92.04738133680944
15.983090072320842,31.21,17.334,51.21143887318437,92.20658862536541
15.983090072320842,31.25,17.359,51.145888231426696,92.07379499003882
16.082466798159107,31.28,17.378,51.41453579974139,92.54498099987978
16.082466798159107,31.28,17.385,51.41453579974139,92.5077181372396
16.032778435239972,31.31,17.408,51.20657436997755,92.10005994508256
15.999652859960552,31.38,17.435,50.986784129893415,91.76743825615459
15.983090072320842,31.48,17.474,50.77220480406874,91.46783834451666
15.983090072320842,31.61,17.525,50.5633978877597,91.20165519155972
16.016215647600266,31.58,17.538,50.716325673211735,91.32293105029231
16.016215647600266,31.55,17.542,50.76455038859038,91.30210721468627
